시도,시군구,읍면동,화재발생(년),화재발생(월),화재발생(일),화재발생(시),화재발생(분),요일,인명피해(명)소계,사망,부상,재산피해소계,화재유형,발화요인대분류,발화요인소분류,최초착화물대분류,최초착화물소분류,발화관련기기대분류,발화관련기기소분류,장소대분류,장소중분류,장소소분류,차량장소
서울특별시,종로구,수송동,2022,7,13,16,29,수,0,0,0,498,"건축,구조물",기계적 요인,"과열, 과부하","전기,전자",전자기기 부속품,,,"판매,업무시설",일반업무,일반회사,
서울특별시,중구,신당동,2022,7,13,17,40,수,0,0,0,242,"건축,구조물",부주의,음식물 조리중,식품,튀김유,,,주거,공동주택,다세대주택,
서울특별시,중구,북창동,2022,7,14,16,51,목,0,0,0,23,"건축,구조물",전기적 요인,절연열화에 의한 단락,"종이,목재,건초등","목재, 합판",,,생활서비스,음식점,한식(휴게),
서울특별시,성북구,길음동,2022,7,14,18,41,목,0,0,0,15,"건축,구조물",방화,방화,"종이,목재,건초등",종이,,,주거,공동주택,아파트,
서울특별시,종로구,창신동,2022,7,15,11,37,금,0,0,0,369,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,,,"판매,업무시설",숙박시설,여관,
서울특별시,동대문구,회기동,2022,7,15,22,47,금,0,0,0,21968,"건축,구조물",전기적 요인,미확인단락,합성수지,"플라스틱, PVC, 비닐, 장판",배선/배선기구,콘센트,교육시설,학교,대학교,
서울특별시,서대문구,대현동,2022,7,16,12,49,토,0,0,0,403,"건축,구조물",전기적 요인,미확인단락,"전기,전자",전선피복,계절용 기기,환풍기/송풍기/공조기,주거,단독주택,기타 단독주택,
서울특별시,동대문구,제기동,2022,7,16,21,11,토,0,0,0,682,"건축,구조물",전기적 요인,"누전,지락","전기,전자","콘센트, 스위치류",,,산업시설,창고시설,"창고, 물품저장소",
서울특별시,동대문구,답십리동,2022,7,17,23,10,일,0,0,0,97,"건축,구조물",전기적 요인,절연열화에 의한 단락,합성수지,기타(합성수지),계절용 기기,에어컨,주거,공동주택,아파트,
서울특별시,종로구,숭인동,2022,7,18,10,54,월,0,0,0,50,"건축,구조물",부주의,"용접, 절단, 연마",기타,기타,,,주거,공동주택,기타 공동주택,
서울특별시,성북구,동소문동3가,2022,7,19,9,20,화,0,0,0,182,"건축,구조물",부주의,"용접, 절단, 연마",기타,기타,,,운수자동차시설,자동차시설,"세차장, 폐차장",
서울특별시,중구,을지로2가,2022,7,19,18,43,화,0,0,0,9,기타(쓰레기 화재등),부주의,담배꽁초,쓰레기류,재활용,,,기타,야외,쓰레기,
서울특별시,성북구,길음동,2022,7,19,21,20,화,0,0,0,469,"건축,구조물",전기적 요인,접촉불량에 의한 단락,"전기,전자",전선피복,배선/배선기구,전력공급용 전선,주거,공동주택,아파트,
